time,action,product_id,product_name,quantity_delta,inventory_after,actor,notes
2026-07-09T03:05:54.324Z,REFILL,P002,XIAO ESP32-C3,7,7,dashboard,
2026-07-09T03:05:55.966Z,REFILL,P001,XIAO ESP32-S3 Sense,3,3,dashboard,
2026-07-09T03:05:56.109Z,REFILL,P001,XIAO ESP32-S3 Sense,1,4,dashboard,
2026-07-09T03:05:56.274Z,REFILL,P001,XIAO ESP32-S3 Sense,1,5,dashboard,
2026-07-09T03:05:56.403Z,REFILL,P001,XIAO ESP32-S3 Sense,1,6,dashboard,
2026-07-09T03:05:56.948Z,REFILL,P001,XIAO ESP32-S3 Sense,1,7,dashboard,
2026-07-09T03:05:58.228Z,REFILL,P003,XIAO ESP32-C5,1,1,dashboard,
2026-07-09T03:05:58.349Z,REFILL,P003,XIAO ESP32-C5,1,2,dashboard,
2026-07-09T03:05:58.487Z,REFILL,P003,XIAO ESP32-C5,1,3,dashboard,
2026-07-09T03:05:58.621Z,REFILL,P003,XIAO ESP32-C5,1,4,dashboard,
2026-07-09T03:05:58.757Z,REFILL,P003,XIAO ESP32-C5,1,5,dashboard,
2026-07-09T03:05:58.884Z,REFILL,P003,XIAO ESP32-C5,1,6,dashboard,
2026-07-09T03:05:59.601Z,REFILL,P004,XIAO nRF52840 Sense,1,1,dashboard,
2026-07-09T03:05:59.727Z,REFILL,P004,XIAO nRF52840 Sense,1,2,dashboard,
2026-07-09T03:05:59.849Z,REFILL,P004,XIAO nRF52840 Sense,1,3,dashboard,
2026-07-09T03:05:59.979Z,REFILL,P004,XIAO nRF52840 Sense,1,4,dashboard,
2026-07-09T03:06:00.111Z,REFILL,P004,XIAO nRF52840 Sense,1,5,dashboard,
2026-07-09T03:06:00.244Z,REFILL,P004,XIAO nRF52840 Sense,1,6,dashboard,
2026-07-09T03:06:00.361Z,REFILL,P004,XIAO nRF52840 Sense,1,7,dashboard,
2026-07-09T03:06:01.186Z,INIT,P001,XIAO ESP32-S3 Sense,0,7,operator,initialize page
2026-07-09T03:06:01.187Z,INIT,P002,XIAO ESP32-C3,0,7,operator,initialize page
2026-07-09T03:06:01.187Z,INIT,P003,XIAO ESP32-C5,0,6,operator,initialize page
2026-07-09T03:06:01.188Z,INIT,P004,XIAO nRF52840 Sense,0,7,operator,initialize page
2026-07-09T03:06:08.104Z,REFILL,P004,XIAO nRF52840 Sense,1,8,dashboard,
2026-07-09T03:06:11.767Z,INIT,P001,XIAO ESP32-S3 Sense,0,7,operator,initialize page
2026-07-09T03:06:11.768Z,INIT,P002,XIAO ESP32-C3,0,7,operator,initialize page
2026-07-09T03:06:11.768Z,INIT,P003,XIAO ESP32-C5,0,6,operator,initialize page
2026-07-09T03:06:11.769Z,INIT,P004,XIAO nRF52840 Sense,-8,0,operator,initialize page
2026-07-10T14:31:28.041Z,REFILL,P004,XIAO nRF52840 Sense,1,1,dashboard,
2026-07-10T14:31:28.185Z,REFILL,P004,XIAO nRF52840 Sense,1,2,dashboard,
2026-07-10T14:31:28.320Z,REFILL,P004,XIAO nRF52840 Sense,1,3,dashboard,
2026-07-10T14:31:28.444Z,REFILL,P004,XIAO nRF52840 Sense,1,4,dashboard,
2026-07-10T14:31:28.576Z,REFILL,P004,XIAO nRF52840 Sense,1,5,dashboard,
2026-07-10T14:31:28.728Z,REFILL,P004,XIAO nRF52840 Sense,1,6,dashboard,
2026-07-10T14:31:30.778Z,INIT,P001,XIAO ESP32-S3 Sense,0,7,operator,initialize page
2026-07-10T14:31:30.778Z,INIT,P002,XIAO ESP32-C3,0,7,operator,initialize page
2026-07-10T14:31:30.779Z,INIT,P003,XIAO ESP32-C5,0,6,operator,initialize page
2026-07-10T14:31:30.779Z,INIT,P004,XIAO nRF52840 Sense,0,6,operator,initialize page
2026-07-10T14:33:34.671Z,DISPENSE,P002,XIAO ESP32-C3,-1,6,frontend-1,ORD-20260710143328-AQO-EK
2026-07-10T14:33:34.671Z,DISPENSE,P003,XIAO ESP32-C5,-1,5,frontend-1,ORD-20260710143328-AQO-EK
2026-07-10T14:34:47.794Z,DISPENSE,P001,XIAO ESP32-S3 Sense,-1,6,frontend-1,ORD-20260710143441-4GWFYR
2026-07-10T14:34:47.794Z,DISPENSE,P002,XIAO ESP32-C3,-1,5,frontend-1,ORD-20260710143441-4GWFYR
2026-07-10T14:35:35.288Z,DISPENSE,P004,XIAO nRF52840 Sense,-2,4,frontend-1,selecting
